,Request,Appointment,CarType
2978,2022-09-17 18:30,2022-11-21 07:23,class 1 truck
2979,2022-09-06 07:13,2022-10-22 07:25,class 1 truck
2980,2022-09-19 18:30,2022-11-05 18:30,medium
2981,2022-11-16 07:20,2022-11-16 07:20,compact
2982,2022-11-23 18:30,2022-11-23 18:30,medium
2983,2022-10-16 07:32,2022-10-16 07:32,compact
2984,2022-11-24 07:25,2022-11-26 18:11,full-size
2985,2022-10-06 07:45,2022-10-09 18:30,medium
2986,2022-10-21 07:25,2022-10-21 07:25,class 1 truck
2987,2022-11-16 18:30,2022-11-28 08:47,full-size
2988,2022-10-29 07:46,2022-11-01 07:13,full-size
2989,2022-10-02 07:31,2022-10-14 07:20,medium
2990,2022-09-19 18:30,2022-10-24 18:30,full-size
2991,2022-09-22 07:44,2022-10-29 16:08,full-size
2992,2022-11-04 18:22,2022-11-26 13:23,compact
2993,2022-10-03 07:27,2022-10-03 18:27,compact
2994,2022-09-01 16:26,2022-11-21 18:30,medium
2995,2022-11-09 09:59,2022-11-12 07:05,class 1 truck
2996,2022-09-12 18:30,2022-10-01 12:21,class 1 truck
2997,2022-11-04 07:30,2022-11-19 18:30,full-size
2998,2022-09-17 17:33,2022-11-05 18:30,full-size
2999,2022-09-01 17:54,2022-10-11 07:16,full-size
3000,2022-09-23 18:21,2022-11-11 07:48,full-size
3001,2022-11-26 18:30,2022-11-27 07:14,full-size
3002,2022-10-05 10:14,2022-10-05 10:14,full-size
3003,2022-09-07 10:21,2022-11-07 18:23,class 1 truck
3004,2022-09-06 07:32,2022-10-24 07:58,class 1 truck
3005,2022-09-30 18:01,2022-11-10 10:55,class 2 truck
3006,2022-10-07 18:30,2022-10-23 07:05,full-size
3007,2022-10-12 13:22,2022-10-14 07:32,medium
3008,2022-09-12 18:30,2022-11-25 08:19,compact
3009,2022-10-28 18:30,2022-11-26 16:17,class 2 truck
3010,2022-11-11 07:02,2022-11-18 10:43,medium
3011,2022-09-06 08:15,2022-11-23 17:38,class 1 truck
3012,2022-09-20 11:02,2022-10-12 14:49,full-size
3013,2022-11-11 18:30,2022-11-11 18:30,compact
3014,2022-10-04 11:24,2022-11-22 07:21,full-size
3015,2022-11-20 11:09,2022-11-20 11:09,medium
3016,2022-10-04 14:53,2022-11-01 08:38,medium
3017,2022-10-02 07:01,2022-10-02 07:01,compact
3018,2022-10-04 07:54,2022-10-04 07:54,class 2 truck
3019,2022-11-24 12:13,2022-11-24 12:13,full-size
3020,2022-09-25 12:00,2022-10-11 07:49,class 1 truck
3021,2022-10-06 14:26,2022-11-16 12:26,full-size
3022,2022-11-03 07:57,2022-11-23 18:30,class 1 truck
3023,2022-11-20 18:30,2022-11-26 15:39,medium
3024,2022-09-23 18:30,2022-10-18 18:00,medium
3025,2022-10-04 10:00,2022-10-04 10:00,full-size
3026,2022-10-19 18:22,2022-10-19 18:22,class 1 truck
3027,2022-09-23 13:26,2022-10-02 07:36,class 1 truck
3028,2022-11-07 16:04,2022-11-07 16:04,compact
3029,2022-11-05 07:56,2022-11-16 18:02,class 1 truck
3030,2022-09-29 18:30,2022-11-03 07:47,class 1 truck
3031,2022-10-20 18:09,2022-10-20 18:09,class 1 truck
3032,2022-11-14 16:24,2022-11-14 16:24,compact
3033,2022-11-10 17:41,2022-11-10 17:41,medium
3034,2022-11-26 13:14,2022-11-28 18:30,medium
3035,2022-11-09 07:31,2022-11-16 07:56,full-size
3036,2022-10-15 16:53,2022-10-15 16:53,medium
3037,2022-11-29 10:24,2022-11-29 10:24,compact
3038,2022-10-15 07:26,2022-11-18 07:59,medium
3039,2022-11-28 18:05,2022-11-30 07:13,compact
3040,2022-09-27 17:11,2022-11-25 07:24,medium
3041,2022-11-27 18:26,2022-11-30 07:48,class 1 truck
3042,2022-10-29 07:40,2022-10-31 15:00,medium
3043,2022-11-07 10:21,2022-11-08 10:54,compact
3044,2022-10-07 18:21,2022-10-31 18:05,medium
3045,2022-11-16 12:48,2022-11-21 16:00,class 2 truck
3046,2022-11-04 07:30,2022-11-04 07:30,medium
3047,2022-09-23 13:03,2022-11-11 14:17,full-size
3048,2022-09-02 14:28,2022-11-30 07:50,class 2 truck
3049,2022-10-25 18:30,2022-10-28 07:35,medium
3050,2022-09-13 18:22,2022-11-28 07:13,compact
3051,2022-10-25 16:43,2022-10-29 18:19,compact
3052,2022-09-24 09:33,2022-11-29 12:24,full-size
3053,2022-10-29 07:05,2022-11-15 07:58,medium
3054,2022-09-17 18:30,2022-10-20 07:40,class 1 truck
3055,2022-11-13 14:03,2022-11-22 09:34,compact
3056,2022-11-18 13:30,2022-11-18 13:30,class 2 truck
3057,2022-11-21 11:30,2022-11-21 11:30,full-size
3058,2022-10-21 13:44,2022-11-27 07:39,full-size
3059,2022-11-25 18:26,2022-11-25 18:26,full-size
3060,2022-11-20 17:01,2022-11-28 14:15,full-size
3061,2022-11-17 13:34,2022-11-23 07:59,compact
3062,2022-09-18 10:54,2022-11-30 12:20,class 1 truck
3063,2022-09-22 07:03,2022-11-12 14:59,medium
3064,2022-11-28 18:30,2022-11-29 13:29,compact
3065,2022-11-18 15:16,2022-11-21 07:31,medium
3066,2022-09-30 07:09,2022-11-20 18:03,class 1 truck
3067,2022-10-26 18:30,2022-10-26 18:30,class 2 truck
3068,2022-11-12 09:31,2022-11-19 12:08,full-size
3069,2022-09-20 17:43,2022-10-05 07:37,compact
3070,2022-11-04 17:21,2022-11-07 17:40,full-size
3071,2022-10-05 16:41,2022-10-05 16:41,full-size
3072,2022-11-24 07:51,2022-11-27 15:50,medium
3073,2022-09-11 07:46,2022-11-07 07:18,full-size
3074,2022-11-16 14:45,2022-11-18 11:25,medium
3075,2022-11-11 07:31,2022-11-27 18:30,full-size
3076,2022-10-31 12:20,2022-10-31 12:20,class 1 truck
3077,2022-09-03 09:05,2022-11-15 18:01,full-size
3078,2022-11-03 07:39,2022-11-08 15:32,class 1 truck
3079,2022-11-17 18:28,2022-11-17 18:28,class 2 truck
3080,2022-11-12 07:03,2022-11-12 07:03,class 1 truck
3081,2022-10-03 15:48,2022-10-03 15:48,class 2 truck
3082,2022-11-14 18:30,2022-11-16 07:42,full-size
3083,2022-09-13 07:59,2022-10-12 16:52,class 1 truck
3084,2022-11-08 18:30,2022-11-08 18:30,full-size
3085,2022-11-21 09:05,2022-11-21 09:05,class 1 truck
3086,2022-11-21 12:15,2022-11-28 10:07,class 2 truck
3087,2022-11-01 07:49,2022-11-09 08:13,full-size
3088,2022-10-29 13:16,2022-10-29 13:16,class 2 truck
3089,2022-09-25 16:31,2022-10-10 14:38,compact
3090,2022-09-22 18:06,2022-10-20 07:39,class 2 truck
3091,2022-11-30 18:17,2022-11-30 18:30,medium
3092,2022-09-10 14:36,2022-11-22 07:03,medium
3093,2022-09-22 13:53,2022-10-24 07:39,class 2 truck
3094,2022-09-06 15:38,2022-10-14 07:05,class 1 truck
3095,2022-11-05 15:30,2022-11-19 18:30,full-size
3096,2022-09-21 18:15,2022-10-29 17:13,class 2 truck
3097,2022-10-09 16:06,2022-10-09 16:06,medium
3098,2022-11-03 16:05,2022-11-18 07:30,compact
3099,2022-10-15 18:30,2022-11-21 07:48,class 2 truck
3100,2022-09-15 09:01,2022-10-01 07:16,compact
3101,2022-09-13 07:52,2022-11-07 11:43,medium
3102,2022-10-27 10:40,2022-10-27 10:40,class 2 truck
3103,2022-11-25 18:30,2022-11-25 18:30,full-size
3104,2022-11-28 07:51,2022-11-28 18:30,class 2 truck
3105,2022-11-04 07:36,2022-11-08 07:48,class 2 truck
3106,2022-09-26 10:09,2022-11-20 07:05,class 1 truck
3107,2022-11-26 16:23,2022-11-26 16:23,compact
3108,2022-10-16 07:43,2022-10-16 07:43,class 1 truck
3109,2022-11-01 18:30,2022-11-25 14:53,full-size
3110,2022-10-28 13:42,2022-11-05 12:03,class 2 truck
3111,2022-09-30 17:07,2022-11-11 15:05,class 1 truck
3112,2022-09-05 07:00,2022-11-28 13:17,medium
3113,2022-10-09 18:11,2022-11-25 18:30,full-size
3114,2022-11-10 15:51,2022-11-16 17:46,compact
3115,2022-10-09 18:30,2022-10-09 18:30,class 1 truck
3116,2022-11-19 07:33,2022-11-19 07:33,compact
3117,2022-09-05 18:04,2022-11-07 18:30,medium
3118,2022-11-22 13:39,2022-11-24 07:55,compact
3119,2022-09-20 07:43,2022-11-13 18:30,full-size
3120,2022-10-26 11:53,2022-11-18 08:45,class 2 truck
3121,2022-11-26 07:21,2022-11-28 18:13,class 2 truck
3122,2022-11-19 07:03,2022-11-20 16:18,class 2 truck
3123,2022-10-15 13:36,2022-11-30 12:19,compact
3124,2022-11-06 18:13,2022-11-24 11:04,class 2 truck
3125,2022-11-05 14:54,2022-11-05 14:54,class 1 truck
3126,2022-11-03 18:30,2022-11-23 07:51,medium
3127,2022-09-25 07:15,2022-11-01 14:56,medium
3128,2022-09-01 09:51,2022-11-10 16:10,compact
3129,2022-09-29 13:31,2022-10-15 11:06,full-size
3130,2022-10-27 07:00,2022-10-30 18:30,compact
3131,2022-09-09 15:33,2022-11-16 07:09,class 1 truck
3132,2022-09-16 08:54,2022-11-03 17:36,class 2 truck
3133,2022-10-18 07:19,2022-11-07 07:46,compact
3134,2022-11-02 07:03,2022-11-03 18:29,full-size
3135,2022-10-10 16:25,2022-11-17 17:26,full-size
3136,2022-10-25 11:34,2022-11-29 18:30,medium
3137,2022-11-04 08:34,2022-11-04 08:34,medium
3138,2022-11-07 07:48,2022-11-07 07:48,class 1 truck
3139,2022-09-07 10:33,2022-10-28 07:05,class 1 truck
3140,2022-11-11 07:59,2022-11-27 09:56,medium
3141,2022-10-27 18:21,2022-10-31 13:14,class 1 truck
3142,2022-10-11 07:20,2022-10-11 07:20,compact
3143,2022-09-15 16:47,2022-10-15 07:43,medium
3144,2022-09-01 14:31,2022-11-21 07:21,class 2 truck
3145,2022-11-15 07:28,2022-11-15 07:28,compact
3146,2022-11-01 16:41,2022-11-01 16:41,full-size
3147,2022-10-03 07:26,2022-10-15 08:44,class 1 truck
3148,2022-09-16 10:31,2022-11-13 18:30,medium
3149,2022-11-27 07:32,2022-11-27 07:32,class 2 truck
3150,2022-10-21 18:24,2022-10-21 18:24,medium
3151,2022-10-10 13:17,2022-11-30 18:29,class 2 truck
3152,2022-11-25 11:15,2022-11-26 07:57,class 2 truck
3153,2022-11-06 18:30,2022-11-06 18:30,medium
3154,2022-10-29 18:23,2022-11-10 15:28,medium
3155,2022-11-02 14:28,2022-11-10 15:14,class 2 truck
3156,2022-09-25 07:35,2022-10-20 09:37,full-size
3157,2022-10-04 11:42,2022-11-25 18:30,medium
3158,2022-10-15 12:42,2022-11-05 18:20,class 1 truck
3159,2022-11-02 07:39,2022-11-02 07:39,class 1 truck
3160,2022-10-19 18:30,2022-10-28 08:23,full-size
3161,2022-10-02 15:40,2022-11-29 12:15,full-size
3162,2022-09-20 14:42,2022-10-09 10:59,compact
3163,2022-10-24 07:25,2022-11-01 08:33,medium
3164,2022-11-16 07:38,2022-11-16 07:38,full-size
3165,2022-10-25 17:15,2022-10-25 17:15,class 2 truck
3166,2022-09-02 18:27,2022-11-22 08:39,compact
3167,2022-11-17 07:12,2022-11-17 07:12,medium
3168,2022-09-10 07:23,2022-10-09 07:59,medium
3169,2022-11-14 18:30,2022-11-20 15:51,full-size
3170,2022-10-01 15:26,2022-11-04 18:30,compact
3171,2022-09-22 18:11,2022-10-08 16:05,class 2 truck
3172,2022-11-18 18:30,2022-11-27 12:30,full-size
3173,2022-10-14 07:35,2022-11-20 15:46,compact
3174,2022-09-02 17:24,2022-11-21 07:38,medium
3175,2022-09-09 15:47,2022-11-23 07:17,medium
3176,2022-11-03 09:05,2022-11-12 18:18,class 2 truck
3177,2022-09-03 07:10,2022-11-24 07:29,compact
3178,2022-10-26 07:09,2022-11-11 11:20,class 1 truck
3179,2022-11-06 18:30,2022-11-24 18:23,medium
3180,2022-10-17 18:15,2022-11-28 11:32,medium
3181,2022-10-16 07:42,2022-10-16 07:42,full-size
3182,2022-09-16 11:32,2022-10-14 13:38,medium
3183,2022-10-14 13:35,2022-11-01 07:48,full-size
3184,2022-09-03 18:30,2022-11-20 18:28,class 1 truck
3185,2022-11-11 10:56,2022-11-14 17:13,class 1 truck
3186,2022-11-11 07:44,2022-11-26 07:10,medium
3187,2022-11-27 15:29,2022-11-28 07:26,full-size
3188,2022-09-29 14:34,2022-11-13 18:11,class 2 truck
3189,2022-11-01 12:39,2022-11-07 07:55,compact
3190,2022-11-28 07:55,2022-11-30 11:29,compact
3191,2022-09-16 07:21,2022-11-05 12:31,compact
3192,2022-09-13 10:30,2022-10-22 07:26,full-size
3193,2022-10-22 07:21,2022-11-17 09:13,class 2 truck
3194,2022-11-29 08:56,2022-11-29 08:56,class 2 truck
3195,2022-11-14 15:47,2022-11-21 15:21,class 2 truck
3196,2022-11-23 12:59,2022-11-23 12:59,full-size
3197,2022-11-28 09:24,2022-11-29 18:10,medium
3198,2022-09-12 18:27,2022-11-12 07:56,medium
3199,2022-09-04 08:03,2022-11-20 17:05,class 2 truck
3200,2022-10-20 07:19,2022-10-20 14:12,medium
3201,2022-10-04 07:51,2022-10-14 07:17,full-size
3202,2022-10-29 18:12,2022-10-29 18:12,class 2 truck
3203,2022-10-30 18:30,2022-11-29 18:30,full-size
3204,2022-09-06 15:39,2022-11-11 08:29,compact
3205,2022-09-08 18:29,2022-10-08 18:30,medium
3206,2022-11-09 09:13,2022-11-10 18:30,class 2 truck
3207,2022-09-03 15:09,2022-10-14 07:52,compact
3208,2022-11-15 16:51,2022-11-15 16:51,compact
3209,2022-10-15 18:02,2022-11-03 10:14,compact
3210,2022-09-25 12:46,2022-10-03 07:31,medium
3211,2022-09-02 18:30,2022-10-09 07:25,class 1 truck
3212,2022-11-20 08:02,2022-11-30 07:20,compact
3213,2022-11-27 07:53,2022-11-28 07:13,class 2 truck
3214,2022-09-15 17:15,2022-10-06 07:51,class 1 truck
3215,2022-09-20 09:47,2022-11-22 09:43,class 1 truck
3216,2022-11-19 18:07,2022-11-29 13:02,class 2 truck
3217,2022-11-24 16:12,2022-11-28 17:34,class 1 truck
3218,2022-09-14 07:57,2022-11-23 18:30,full-size
3219,2022-10-29 10:01,2022-11-19 11:11,full-size
3220,2022-11-10 11:54,2022-11-10 11:54,class 1 truck
3221,2022-10-30 08:35,2022-11-16 18:30,medium
3222,2022-10-25 15:36,2022-10-25 15:36,class 1 truck
3223,2022-11-07 07:12,2022-11-07 07:12,compact
3224,2022-09-27 16:09,2022-11-08 16:00,compact
3225,2022-11-10 18:07,2022-11-21 18:09,medium
3226,2022-10-15 18:30,2022-10-23 18:30,class 1 truck
3227,2022-09-22 11:32,2022-11-12 08:39,compact
3228,2022-09-23 15:19,2022-11-17 18:25,full-size
3229,2022-10-27 07:55,2022-11-24 07:41,class 1 truck
3230,2022-09-21 18:25,2022-11-27 18:26,class 2 truck
3231,2022-09-02 18:30,2022-10-08 10:27,full-size
3232,2022-10-17 18:30,2022-10-17 18:30,medium
3233,2022-09-19 07:20,2022-10-12 09:15,medium
3234,2022-09-19 08:39,2022-10-20 07:11,class 2 truck
3235,2022-10-11 15:57,2022-10-11 15:57,class 2 truck
3236,2022-10-17 07:32,2022-10-17 07:32,class 2 truck
3237,2022-10-01 11:24,2022-10-09 09:40,compact
3238,2022-09-27 18:30,2022-10-13 18:22,medium
3239,2022-10-10 18:30,2022-11-01 09:15,medium
3240,2022-09-06 07:13,2022-10-29 18:30,full-size
3241,2022-11-28 18:23,2022-11-29 18:30,full-size
3242,2022-10-18 18:30,2022-10-18 18:30,class 1 truck
3243,2022-10-15 14:34,2022-11-29 07:51,class 2 truck
3244,2022-10-15 07:41,2022-11-11 17:53,medium
3245,2022-10-24 07:18,2022-11-06 07:37,class 1 truck
3246,2022-09-04 07:29,2022-10-16 08:26,class 2 truck
3247,2022-11-01 18:02,2022-11-03 18:11,compact
3248,2022-09-22 08:35,2022-10-06 18:02,class 1 truck
3249,2022-09-07 18:30,2022-11-01 18:04,full-size
3250,2022-11-06 15:30,2022-11-07 07:08,class 1 truck
3251,2022-11-06 09:28,2022-11-19 10:23,medium
3252,2022-10-01 18:15,2022-10-06 18:04,full-size
3253,2022-09-17 18:30,2022-10-20 07:21,class 1 truck
3254,2022-10-22 17:47,2022-10-22 17:47,compact
3255,2022-11-03 07:04,2022-11-22 07:57,class 1 truck
3256,2022-11-29 16:29,2022-11-30 15:07,medium
3257,2022-09-05 18:27,2022-10-30 07:04,class 1 truck
3258,2022-11-03 18:28,2022-11-20 18:30,full-size
3259,2022-11-25 07:40,2022-11-26 07:15,compact
3260,2022-11-01 07:19,2022-11-12 18:30,compact
3261,2022-09-26 11:20,2022-11-11 07:57,medium
3262,2022-11-06 15:51,2022-11-20 18:30,full-size
3263,2022-11-06 07:53,2022-11-09 07:15,compact
3264,2022-09-06 07:27,2022-10-15 12:40,class 1 truck
3265,2022-09-18 18:21,2022-10-27 16:17,class 1 truck
3266,2022-09-12 13:29,2022-11-13 15:07,compact
3267,2022-11-02 18:30,2022-11-25 07:07,class 2 truck
3268,2022-11-26 14:08,2022-11-28 07:03,class 1 truck
3269,2022-10-19 07:22,2022-11-24 09:04,medium
3270,2022-10-27 16:51,2022-10-27 18:16,class 2 truck
3271,2022-11-20 18:30,2022-11-20 18:30,class 2 truck
3272,2022-11-19 11:19,2022-11-21 17:51,compact
3273,2022-10-10 14:40,2022-11-16 11:14,class 1 truck
3274,2022-09-05 18:17,2022-10-17 17:45,compact
3275,2022-10-30 18:30,2022-11-27 12:40,full-size
3276,2022-10-08 16:33,2022-10-23 07:44,full-size
3277,2022-11-16 16:48,2022-11-21 18:03,full-size
3278,2022-11-21 18:30,2022-11-23 07:50,full-size
3279,2022-11-22 18:18,2022-11-29 09:15,class 1 truck
3280,2022-10-30 18:15,2022-10-30 18:15,class 1 truck
3281,2022-10-31 07:17,2022-10-31 07:17,medium
3282,2022-09-26 08:33,2022-11-09 18:27,medium
3283,2022-10-07 07:00,2022-10-10 18:11,class 1 truck
3284,2022-10-04 07:57,2022-10-15 08:48,compact
3285,2022-10-20 15:36,2022-11-02 14:11,medium
3286,2022-11-08 07:37,2022-11-18 10:40,compact
3287,2022-11-22 07:38,2022-11-27 07:42,full-size
3288,2022-11-19 18:20,2022-11-28 07:25,class 1 truck
3289,2022-11-28 07:35,2022-11-29 07:25,medium
3290,2022-11-07 15:12,2022-11-19 07:51,class 1 truck
3291,2022-10-30 07:12,2022-10-30 07:12,compact
3292,2022-10-29 18:30,2022-11-26 10:30,compact
3293,2022-09-27 18:30,2022-10-07 07:43,class 1 truck
3294,2022-09-12 07:10,2022-10-19 07:52,class 2 truck
3295,2022-09-09 15:11,2022-10-28 07:11,medium
3296,2022-10-06 12:11,2022-10-06 12:11,full-size
3297,2022-11-23 14:27,2022-11-23 14:27,class 1 truck
3298,2022-09-09 07:12,2022-10-04 12:30,class 1 truck
3299,2022-11-18 18:30,2022-11-28 18:24,compact
3300,2022-11-02 11:01,2022-11-28 07:47,full-size
3301,2022-09-17 08:57,2022-10-31 07:35,medium
3302,2022-10-28 07:47,2022-11-28 18:30,full-size
3303,2022-11-01 08:37,2022-11-10 16:55,medium
3304,2022-10-03 15:48,2022-10-03 15:48,medium
3305,2022-09-19 15:37,2022-11-22 16:52,compact
3306,2022-10-07 14:50,2022-10-07 14:50,class 1 truck
3307,2022-10-07 07:54,2022-11-13 07:38,class 1 truck
3308,2022-09-30 07:35,2022-10-20 07:23,class 2 truck
3309,2022-09-08 07:54,2022-10-25 17:22,full-size
3310,2022-09-16 17:28,2022-10-21 07:35,full-size
3311,2022-09-22 11:28,2022-11-06 07:54,compact
3312,2022-09-28 07:34,2022-11-13 18:30,class 1 truck
3313,2022-09-17 07:13,2022-11-26 11:30,medium
3314,2022-09-21 10:31,2022-11-22 11:16,class 2 truck
3315,2022-11-24 18:30,2022-11-29 08:13,compact
3316,2022-09-18 14:43,2022-11-15 14:50,class 1 truck
3317,2022-09-18 07:04,2022-11-14 07:01,class 1 truck
3318,2022-11-01 07:05,2022-11-30 09:28,class 2 truck
3319,2022-10-02 17:29,2022-10-02 17:29,compact
3320,2022-09-27 07:23,2022-11-27 10:57,compact
3321,2022-11-24 08:08,2022-11-28 09:36,compact
3322,2022-09-22 18:30,2022-11-25 16:06,full-size
3323,2022-09-23 07:16,2022-11-13 07:58,compact
3324,2022-09-16 07:01,2022-10-09 18:23,compact
3325,2022-11-07 13:28,2022-11-07 13:28,compact
3326,2022-11-01 18:03,2022-11-14 18:30,full-size
3327,2022-09-25 13:09,2022-10-29 18:30,class 1 truck
3328,2022-10-22 18:26,2022-10-22 18:26,medium
3329,2022-09-02 07:48,2022-11-21 18:30,full-size
3330,2022-11-17 07:14,2022-11-17 07:14,class 1 truck
3331,2022-11-16 18:03,2022-11-28 07:38,full-size
3332,2022-11-01 07:11,2022-11-15 18:29,class 2 truck
3333,2022-09-05 10:17,2022-10-01 16:50,medium
3334,2022-11-21 18:30,2022-11-21 18:30,class 2 truck
3335,2022-09-29 07:02,2022-10-21 07:39,full-size
3336,2022-10-23 07:19,2022-10-29 07:25,class 2 truck
3337,2022-10-18 18:05,2022-11-12 07:08,class 1 truck
3338,2022-11-23 07:03,2022-11-23 07:03,full-size
3339,2022-09-08 07:48,2022-11-18 18:13,class 1 truck
3340,2022-11-28 18:22,2022-11-30 17:58,medium
3341,2022-11-01 11:09,2022-11-11 09:57,class 2 truck
3342,2022-09-13 18:10,2022-10-24 07:12,class 1 truck
3343,2022-11-14 10:14,2022-11-16 07:52,class 2 truck
3344,2022-09-17 07:20,2022-10-01 08:53,class 2 truck
3345,2022-10-22 18:30,2022-10-28 07:52,compact
3346,2022-11-01 08:09,2022-11-13 07:07,medium
3347,2022-11-24 07:28,2022-11-24 07:28,class 2 truck
3348,2022-10-12 18:30,2022-11-28 14:26,class 1 truck
3349,2022-09-10 18:28,2022-11-28 07:02,class 2 truck
3350,2022-09-28 17:56,2022-10-12 07:25,class 1 truck
3351,2022-09-18 08:53,2022-11-20 07:59,compact
3352,2022-09-05 18:20,2022-10-12 18:30,compact
3353,2022-11-08 18:30,2022-11-08 18:30,class 1 truck
3354,2022-10-05 07:29,2022-10-05 07:29,class 2 truck
3355,2022-10-28 08:49,2022-10-28 08:49,class 1 truck
3356,2022-10-09 17:08,2022-11-18 11:42,compact
3357,2022-09-15 18:30,2022-11-27 13:08,compact
3358,2022-10-14 07:32,2022-11-01 07:05,class 1 truck
3359,2022-10-09 09:34,2022-11-15 11:18,class 1 truck
3360,2022-11-16 18:14,2022-11-16 18:14,class 2 truck
3361,2022-09-29 10:29,2022-11-18 07:09,class 2 truck
3362,2022-11-05 12:36,2022-11-05 12:36,class 2 truck
3363,2022-10-26 07:09,2022-11-05 07:03,class 2 truck
3364,2022-10-20 14:42,2022-10-20 14:42,class 1 truck
3365,2022-10-20 11:02,2022-10-27 11:16,medium
3366,2022-09-18 11:29,2022-11-01 18:19,class 2 truck
3367,2022-09-04 07:07,2022-11-21 07:44,class 1 truck
3368,2022-10-24 09:01,2022-11-12 10:33,medium
3369,2022-11-06 07:22,2022-11-06 07:22,class 1 truck
3370,2022-09-22 18:04,2022-11-11 07:54,class 1 truck
3371,2022-10-20 11:50,2022-10-31 12:10,medium
3372,2022-11-28 07:33,2022-11-29 18:26,full-size
3373,2022-09-29 16:38,2022-10-30 16:56,full-size
3374,2022-11-27 07:07,2022-11-27 07:07,full-size
3375,2022-11-24 07:04,2022-11-24 07:04,medium
3376,2022-11-12 07:17,2022-11-27 07:20,class 2 truck
3377,2022-11-21 18:02,2022-11-21 18:07,class 1 truck
3378,2022-10-11 09:20,2022-11-06 07:06,class 2 truck
3379,2022-10-22 09:17,2022-11-27 07:45,compact
3380,2022-10-13 07:28,2022-10-13 07:28,compact
3381,2022-11-20 17:34,2022-11-20 17:34,full-size
3382,2022-10-26 14:50,2022-11-02 17:31,class 2 truck
3383,2022-09-16 11:46,2022-11-13 11:11,compact
3384,2022-10-05 07:00,2022-11-25 07:38,class 2 truck
3385,2022-11-03 16:44,2022-11-03 16:44,full-size
3386,2022-11-05 07:01,2022-11-25 07:00,full-size
3387,2022-09-17 07:23,2022-10-10 07:22,class 1 truck
3388,2022-10-08 07:28,2022-10-08 07:28,full-size
3389,2022-11-15 18:05,2022-11-29 07:04,medium
3390,2022-10-09 09:52,2022-11-03 18:00,compact
3391,2022-11-03 18:25,2022-11-03 18:25,full-size
3392,2022-11-15 07:51,2022-11-15 07:51,full-size
3393,2022-11-24 07:08,2022-11-24 07:08,class 1 truck
3394,2022-11-17 07:42,2022-11-17 18:30,medium
3395,2022-09-17 07:43,2022-11-25 11:48,class 1 truck
3396,2022-11-18 11:16,2022-11-27 07:53,full-size
3397,2022-11-27 12:11,2022-11-27 18:30,class 2 truck
3398,2022-09-26 11:04,2022-10-08 18:30,compact
3399,2022-10-09 10:45,2022-11-05 14:16,medium
3400,2022-09-23 07:58,2022-10-03 13:47,class 2 truck
3401,2022-10-01 07:53,2022-11-10 18:17,compact
3402,2022-10-06 07:09,2022-10-10 07:16,medium
3403,2022-10-08 18:30,2022-11-16 18:30,full-size
3404,2022-09-27 14:48,2022-11-03 07:38,class 1 truck
3405,2022-09-06 15:03,2022-11-16 18:14,compact
3406,2022-10-01 14:08,2022-10-01 14:08,class 2 truck
3407,2022-11-17 07:53,2022-11-17 07:53,compact
3408,2022-11-29 07:48,2022-11-30 07:28,medium
3409,2022-11-19 07:22,2022-11-19 07:22,compact
3410,2022-11-28 07:48,2022-11-30 11:58,medium
3411,2022-11-07 18:09,2022-11-15 18:22,class 1 truck
3412,2022-09-15 17:39,2022-10-06 07:56,medium
3413,2022-10-18 10:04,2022-11-08 18:26,class 2 truck
3414,2022-11-21 12:03,2022-11-25 07:33,compact
3415,2022-11-28 08:24,2022-11-29 18:30,class 2 truck
3416,2022-11-27 18:30,2022-11-27 18:30,full-size
3417,2022-11-26 13:14,2022-11-28 18:30,compact
3418,2022-11-23 11:36,2022-11-26 11:30,class 2 truck
3419,2022-10-12 07:38,2022-10-31 10:06,full-size
3420,2022-10-02 15:30,2022-10-02 15:30,compact
3421,2022-10-19 07:30,2022-10-26 07:30,full-size
3422,2022-10-29 07:55,2022-10-29 07:55,medium
3423,2022-09-23 07:35,2022-11-27 18:26,medium
3424,2022-10-28 18:30,2022-10-29 07:29,compact
3425,2022-09-03 07:10,2022-11-25 07:46,class 1 truck
3426,2022-10-11 07:31,2022-10-11 07:31,class 2 truck
3427,2022-11-06 17:43,2022-11-23 16:33,class 1 truck
3428,2022-09-22 07:21,2022-10-12 15:30,class 2 truck
3429,2022-10-10 15:40,2022-11-14 15:24,compact
3430,2022-10-09 16:06,2022-10-25 09:35,compact
3431,2022-11-10 07:16,2022-11-10 07:16,class 1 truck
3432,2022-10-29 11:15,2022-11-18 16:31,full-size
3433,2022-10-26 15:39,2022-11-12 16:47,class 1 truck
3434,2022-10-16 17:31,2022-10-24 10:45,compact
3435,2022-10-31 07:16,2022-11-26 11:21,class 2 truck
3436,2022-09-06 10:43,2022-11-23 18:20,class 1 truck
3437,2022-10-12 07:48,2022-10-12 07:48,class 2 truck
3438,2022-09-01 18:30,2022-10-14 18:22,full-size
3439,2022-09-15 07:08,2022-11-29 18:04,full-size
3440,2022-11-27 07:46,2022-11-27 07:46,full-size
3441,2022-11-13 07:31,2022-11-17 18:30,full-size
3442,2022-09-11 12:47,2022-10-13 18:30,class 2 truck
3443,2022-09-03 09:41,2022-11-11 18:05,full-size
3444,2022-11-25 12:52,2022-11-29 18:05,medium
3445,2022-10-09 07:59,2022-10-19 08:52,compact
3446,2022-10-24 07:21,2022-10-31 15:08,class 2 truck
